basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, EE30,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE30,  12, 156N, 1070E,  33,  992, XX
WP, 19, 2006100100, 03, EE30,  24, 156N, 1050E,  32,  995, XX
WP, 19, 2006100100, 03, EE30,  36, 159N, 1035E,  23, 1001, XX
WP, 19, 2006100100, 03, EE31,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE31,  12, 155N, 1070E,  37,  990, XX
WP, 19, 2006100100, 03, EE31,  24, 156N, 1052E,  24,  995, XX
WP, 19, 2006100100, 03, EE31,  36, 156N, 1034E,  25,  998, XX
WP, 19, 2006100100, 03, EE31,  48, 157N, 1011E,  19, 1003, XX
WP, 19, 2006100100, 03, EE32,   0, 159N, 1086E,  46,  983, XX
WP, 19, 2006100100, 03, EE32,  12, 154N, 1069E,  38,  992, XX
WP, 19, 2006100100, 03, EE32,  24, 152N, 1054E,  24,  996, XX
WP, 19, 2006100100, 03, EE32,  36, 151N, 1039E,  30,  998, XX
WP, 19, 2006100100, 03, EE32,  48, 154N, 1029E,  17, 1002, XX
WP, 19, 2006100100, 03, EE33,   0, 159N, 1086E,  46,  984, XX
WP, 19, 2006100100, 03, EE33,  12, 153N, 1069E,  31,  995, XX
WP, 19, 2006100100, 03, EE33,  24, 152N, 1054E,  27,  996, XX
WP, 19, 2006100100, 03, EE33,  36, 151N, 1038E,  20, 1000, XX
WP, 19, 2006100100, 03, EE34,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE34,  12, 156N, 1068E,  42,  988, XX
WP, 19, 2006100100, 03, EE34,  24, 156N, 1049E,  33,  992, XX
WP, 19, 2006100100, 03, EE34,  36, 160N, 1030E,  25,  997, XX
WP, 19, 2006100100, 03, EE34,  48, 164N, 1008E,  20, 1001, XX
WP, 19, 2006100100, 03, EE34,  60, 169N,  999E,  16, 1003, XX
WP, 19, 2006100100, 03, EE34,  72, 172N,  957E,  19, 1004, XX
WP, 19, 2006100100, 03, EE34,  84, 171N,  958E,  23, 1002, XX
WP, 19, 2006100100, 03, EE34,  96, 172N,  960E,  32, 1002, XX
WP, 19, 2006100100, 03, EE34, 108, 184N,  959E,  25, 1001, XX
WP, 19, 2006100100, 03, EE35,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, EE35,  12, 156N, 1066E,  32,  991, XX
